RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1913.6195040992511,1927.2532663716988,1940.3863648903866,1952.6090287056873,1970.281912907583,1984.8986727469728,1999.3390583087803,2006.5712155508606,2014.8903433897808,2018.9696325811417,2028.8536871310214,2042.7429963889645,2061.5786667946313,2071.8376022376683,2082.417146620438,2092.7502911118954,2106.5949476254427,2117.519886811859,2125.183747024261,2130.5162629028946,2130.9949805103656,2135.720883785841,2145.8042911415077,2161.229694442107,2177.578453079195,2193.334987840825,2209.316977888917,2219.4477145954534,2232.9815537574523,2241.1749917182524,2250.6129185838413,2252.532461296267,2256.026755573097,2258.3013686978343,2264.3294008148955,2272.9995815510433,2285.673271409407,2297.785467126985,2310.9304029828368,2324.873619948981,2337.7469483575032,2350.9543558605455,2358.7305277986134,2363.857244531404,2366.821364016908,2371.3216772299756,2378.9172067693935,2385.6209256851507,2394.1481490410783,2403.893762830747,2414.2661502814126,2426.873502295864,2436.1954136643058,2446.129060440811,2451.2226005093244,2454.1870393520403,2453.9273157430384,2456.8582674348772,2461.6256105030043,2468.0680092600433,2469.6864967886418,2456.8605201495243,2438.4439242015465,2424.9008422594616,2424.0543931696575,2421.6280275186527,2417.7501518347513,2415.232934196434,2420.416662871221,2419.5994116757147,2416.099257375175,2416.432032794708,2426.7473867466347,2445.4715393073056,2470.4865001067274,2503.0632548693493,2542.7933740397066,2591.0277281675203,2630.2746801446924,2660.7869971343152,2674.591717105662,2695.407643871758,2714.7892936711896,2743.0663284217026,2770.1264608964334,2803.2303914863414,2835.6118820292854,2857.1278124537153,2875.31693385382,2888.971871009963,2902.6407051774445,2903.093931802397
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1459.306671486956,1473.6297292109464,1486.1111832191818,1513.301082067528,1520.478407609069,1527.722545461144,1525.9206994831022,1517.7689331473773,1505.5997828493332,1500.0266804037194,1504.9261968074582,1516.4586118905513,1529.0700484005029,1539.8208179909548,1550.7666623062107,1560.7347151401295,1568.433127047964,1569.4480821508428,1562.608429227672,1549.650419528226,1536.5789085294075,1529.8059992837013,1531.2294651313418,1545.6332084680291,1562.4359342175096,1580.2427784210035,1590.8669250372934,1598.6089532103208,1603.228180146774,1601.5565074274957,1593.9957278913207,1581.8920099018806,1570.4040509482577,1565.6159550075483,1569.5146156250846,1578.6876109265586,1591.562626536418,1602.370998511402,1614.9683170834028,1625.9981812859608,1633.0977202760375,1632.4912210274779,1624.9065082590469,1612.0760971732923,1602.6593836147745,1595.806596837896,1600.5089014770351,1609.1846989279031,1624.354454329831,1640.0653097622574,1654.312557867637,1665.9291157227626,1672.4680874559722,1673.8329319198572,1670.354401530061,1662.4903439282214,1651.1096830772058,1643.4338154207967,1646.4532211098415,1657.70763789271,1671.8089034230898,1674.069635757752,1673.2275243808635,1667.8062169565897,1665.8688934057188,1656.505066950059,1638.12392274717,1612.420763347342,1589.983406657922,1576.6997753628555,1573.2477988529079,1577.7242463061123,1596.7638261576262,1628.018820373202,1666.0861352808095,1697.1909096600496,1717.8693005906568,1733.212771367068,1737.4472598545615,1738.3586168515455,1734.9741589442667,1742.9747986410866,1757.9123303800109,1775.967009806158,1796.9919116763401,1818.2450314810987,1844.3491472262283,1864.3772434642635,1883.1586619665413,1889.7051625254626,1890.3731128647273,1887.3276807292768
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1254.8653420681455,1262.7795802372725,1272.7377965603114,1282.1396498278814,1286.6840857590125,1289.558527479751,1287.7534803686253,1283.6075087339705,1280.4681998069116,1278.6696866191303,1279.9600301005562,1283.824350222898,1291.845033607127,1295.5675631252968,1294.6709926504298,1291.8710263749933,1291.8679308392573,1288.9320677248268,1284.081742671617,1280.922959452957,1276.2797175653127,1272.6225419772973,1267.1770446212006,1271.1909059955506,1278.6599354901086,1285.7601398965883,1292.2411371307062,1294.2347741439157,1296.0380284723085,1295.175381264501,1297.2288633517662,1307.026425028279,1316.656635581658,1324.432304484303,1324.6854346299358,1325.982225308948,1329.2151997736546,1336.6420545384444,1341.6427949026704,1346.7324705021467,1350.3181688695845,1351.224079201444,1348.6572746936984,1345.4662112537096,1347.5174204130285,1346.213845389734,1344.4814754270744,1341.0115599771143,1345.1353420022986,1349.6704595524157,1358.3669402600974,1365.5572337459369,1372.537969819487,1373.4301894121215,1370.502889106466,1367.940588342967,1365.916800444898,1369.2827052928112,1370.9880205954062,1374.114600614628,1376.9117420771918,1371.032495549817,1362.3134797257403,1353.321959202875,1352.8986937889388,1353.962239190714,1354.5500400964647,1357.5154737169007,1361.9095293162336,1363.6973104566848,1361.6746994926127,1360.119076653601,1364.9844894018825,1379.4450376779064,1404.9636592881611,1435.6475076523789,1464.8488347391003,1490.34198096967,1501.8042600108934,1511.4433065516116,1513.257591119384,1522.6442861764576,1525.6450888287247,1534.3498150872883,1540.3128848947927,1551.877681463597,1564.180379122188,1579.0593369094827,1591.6524825610766,1600.3126248247042,1599.1171653290382,1595.0958612588918
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,1015.7969540310057,1029.3036259070816,1032.5733157376744,1041.5556801569485,1043.325339509151,1046.2493167145647,1049.804883682142,1052.0769820169871,1054.5699534371483,1056.1060130519345,1061.9126245511281,1068.7595175341366,1077.4933731710069,1085.0645613572858,1093.1213962902862,1098.6433473864472,1103.1292988634334,1104.9417828263713,1105.66837621616,1106.5347918866405,1107.6769365986113,1109.5708584087974,1114.2702772783246,1122.0347676112012,1132.4073330472918,1142.2168750503986,1151.9935873019201,1159.7880142578285,1166.5792274540834,1170.3795530964792,1171.5735591860348,1173.0335465125324,1174.2528963159123,1176.1012639774933,1180.0093254362482,1185.1068015464618,1198.750711004267,1213.2861094985244,1227.8675613743235,1235.4010101332203,1242.1621738660433,1249.4828141028913,1255.3356494419934,1260.3236328478567,1264.9389317958041,1271.2049393505647,1274.7090663424524,1283.6544680308507,1294.3654060695585,1310.8427088093965,1323.6384418871876,1336.072923544216,1344.7513942173525,1353.0515223187906,1355.3973391203117,1359.56561139948,1362.2164607389875,1374.9048842652344,1383.9023686736416,1397.2357700123134,1401.8993649219271,1400.237858088041,1394.767375903421,1395.9457631539854,1408.59424079571,1426.0515166295174,1443.8878930259195,1460.365936386775,1476.9279112879904,1487.2576636507972,1500.7121004621322,1511.379327226171,1536.7525980146265,1569.2701540354,1619.5307774848277,1673.0981966841969,1732.8474157653372,1784.4943256995018,1823.9593681931558,1848.958290199199,1868.6167400346537,1882.9804127735513,1894.6867105579431,1902.1550417521466,1916.4402710794795,1929.8045462349169,1943.6839403504935,1951.0603250741515,1955.4974114605911,1952.2301922293327,1944.8978770445096,1934.6586209644622
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1840.8362101862426,1853.8534820849384,1860.0961182237897,1869.4161242768294,1879.8329907920038,1892.179911490285,1902.0753417303229,1904.5340287701301,1909.2595527037479,1912.6460929380821,1920.9798415223831,1928.3931830560673,1944.067591117277,1958.1869141757536,1975.062188061564,1987.4904794314618,1993.3524251284643,1997.5785790329012,2000.9335234688238,2007.9894927938342,2008.586620099264,2004.9888981763986,2007.6195773259635,2022.804600078772,2041.317672171298,2060.8915744220194,2077.475597565649,2093.828390621551,2107.306637192133,2114.7679268825814,2117.2699585586006,2119.0596700065166,2112.7784374966723,2113.1800086973053,2118.8186548539634,2134.3679657774796,2150.242488565216,2164.0932305024426,2180.445612874755,2196.2924138302224,2209.456718185557,2220.579746681207,2227.0665411952446,2227.94115356974,2225.893163424014,2220.734909808608,2221.7065984908,2223.9414579380527,2233.25195655416,2246.433177834505,2260.259133568282,2273.226319861517,2284.309106751103,2294.745264245826,2300.6384093460083,2306.141676486877,2303.6648481998286,2301.861187514269,2301.7217695170134,2309.1365441689804,2315.9425381585556,2304.7950626170646,2293.1162155933303,2290.9209925974833,2305.6349606211857,2318.913649885328,2330.7940866078366,2344.0776311376035,2359.339816307853,2372.0867472842915,2378.929241202785,2386.156557139416,2402.83580601036,2437.5493112443605,2483.8374493176993,2531.2784706437774,2584.582304054559,2646.563459401342,2707.2576886176844,2752.228276485097,2780.293241130568,2798.7854045672043,2803.639917500779,2827.934603355203,2867.6490394155626,2930.9222495455906,2979.0531103333324,3025.6293032253657,3065.1192251947723,3101.2975839353653,3109.654849034669,3105.0487605082653
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,2029.7439711893062,2042.3461403336971,2057.0962631350553,2066.4752370939254,2077.8150693225207,2089.5659168654224,2096.483411772601,2097.52073045039,2099.6680458439378,2105.245512473175,2114.8782494879324,2121.1542834595093,2126.6627699759683,2133.5956030615666,2147.2559554374266,2163.731877046867,2179.1631428376836,2181.108092357362,2187.266522081144,2185.8997452861136,2191.9177478016195,2185.9927055216954,2189.831917718823,2197.647340391207,2213.1745788618146,2228.8300642199697,2241.138648499868,2252.8103991066937,2263.3154007871462,2268.952717820905,2272.4798079114107,2271.098484688066,2271.644659659153,2271.357767782541,2276.2392237472145,2281.823905668399,2289.6892137815275,2298.2464287937196,2305.932246364685,2315.3049351198943,2320.788522016514,2325.749429759908,2328.150571101711,2333.251264840298,2339.920639462084,2345.2199264973406,2345.871315617351,2345.30356563959,2347.7363186737884,2357.8329664136418,2369.9218173862832,2385.0877107827805,2395.356323013066,2403.3434727688177,2408.802265503188,2410.2759179236295,2412.9005899853278,2415.3700486395874,2422.661211520738,2429.2000198981045,2432.017568220657,2413.421601380955,2392.48896059745,2375.4036041306567,2381.446124736232,2390.8612648464,2407.3870279894886,2422.623130817905,2435.916326521308,2445.2395995534216,2459.27043171972,2474.4765190337607,2499.8025518300324,2525.7625605309267,2562.6209897492727,2611.990764645675,2688.4221581048046,2786.4630623168355,2871.867359844452,2925.1267537797808,2952.9660042043656,2966.037630136599,2982.9079723157374,3001.3624750991194,3034.8362592417625,3063.5656481111346,3093.359362084033,3117.257789888281,3143.3730196705073,3154.0306591196204,3149.195200581758,3133.5552812186675
2964,6,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1776.79203839577,1784.50609489829,1797.0991000600727,1806.6274474148952,1814.7987537218817,1819.3464032143497,1821.9327721371658,1834.1186187336637,1841.7700750889119,1849.173919006645,1852.6182324292765,1860.239597613313,1866.514347403224,1864.5896614578105,1862.1687460567475,1858.8541487611224,1862.2526525921203,1859.9764969543928,1856.8204719480837,1851.741828970853,1847.5324886851722,1844.6198999132232,1848.878687451604,1854.469446576948,1863.896923381774,1864.8059896612008,1867.2571422112262,1869.270959957941,1872.0464254624062,1874.8604881889225,1874.6779966610588,1879.3352782790166,1880.7044217898824,1883.638372258728,1885.2065470693747,1887.70535718831,1893.1009955048046,1896.353565955667,1899.645510872027,1904.548879547636,1908.0213075772938,1915.7087176719212,1918.9387266971498,1926.5801752377447,1927.0033488869115,1930.905974968922,1930.4579046409647,1932.9213822504544,1937.352306834418,1941.539922406933,1945.03318990761,1946.3830040632279,1946.2400198020407,1950.8585242019374,1952.3966421791447,1961.7535562182222,1968.892789352861,1977.2544311449817,1983.2604182401014,1987.036709034989,1989.4593972786702,1979.8438490440003,1969.1068942678612,1957.6102738109973,1960.2893710614953,1962.4406881093203,1962.3772920949498,1960.3778435639617,1967.2218091865468,1983.603747475434,2008.1086835850722,2035.3361135260714,2072.9862235798055,2120.7664801465535,2177.635945165966,,,2384.5163230740327,2449.3591720689496,2499.747233516517,2547.8281505723003,2612.123326256376,2664.7786833036025,2739.696164922259,2803.4645357546196,2882.285479608576,2944.8928434391382,2978.457850275616,3002.4608240789735,2999.9364168191933,3012.213958373814,3003.026045675211
978,7,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1182.4205911675258,1191.9874565082632,1206.8051098296366,1216.5258926511042,1225.43076149273,1230.8183584475798,1233.0274058331777,1229.9708517112276,1230.9128468974593,1231.1118204985394,1238.5285212100737,1245.08777694359,1259.2511233782177,1268.1672064002705,1276.8794606039498,1283.9538472059523,1288.3990926823326,1290.6462319013363,1287.2394686142463,1289.4820715972203,1296.0574998764,1303.5791923314675,1306.2390670137268,1305.8636374211692,1313.697164677879,1321.6385141387407,1333.8353430011502,1340.1461463272376,1349.1467590820803,1352.881070128112,1352.5055498807912,1352.9512812019505,1351.0927322306845,1353.072342272213,1354.0659966156745,1362.525510491496,1366.894925008348,1373.2301253541696,1371.3000914066185,1377.937183421037,1383.4475501501265,1394.536757569442,1393.8384260735488,1395.4897487331814,1397.5381992013251,1400.1831720661853,1401.5221930150701,1403.6091561964777,1409.476937685095,1418.683418815363,1425.334259560953,1439.8727214223625,1445.9997420968618,1448.135627899996,1447.0348422936459,1446.3329998953957,1443.8901613246162,1438.261125418334,1436.7929948520975,1441.9030341213224,1447.4629937086588,1445.6071778448204,1440.4503011736667,1436.9131235715522,1436.5491679344982,1434.8111327437039,1432.3542318873122,1436.5178942319917,1441.1645375640944,1446.9794628558182,1448.647927568382,1458.974674828677,1471.9088634044504,1495.150943659141,1522.670705711295,1561.4540636670433,1601.8434721430526,1639.1301653801472,1664.331486419554,1675.473842408321,1684.9570297939651,1690.966613869007,1704.2774669185796,1720.4355064838128,1734.0141254297205,1756.9693821437504,1784.9925477733673,1826.5270253344743,1856.913808379847,1868.1166617902143,1866.2630232936444,1849.9029284183916
581,8,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2398.2702522214336,2416.1241677660923,2440.97124018241,2464.633751815908,2481.731807245361,2496.0392739730855,2511.4102934894463,2524.7339955693064,2523.3155943639917,2509.6004970094714,2498.298217629866,2492.9187918800567,2501.8132955402693,2504.490481636442,2513.7660173190584,2528.874262858182,2548.12752192911,2564.309455853282,2570.023089010088,2565.449818889888,2565.1578545255766,2552.035913578287,2548.6015361596305,2533.529872104644,2538.2025311619727,2545.660902142508,2561.0349749980724,2572.8331385029187,2588.9325715061473,2602.680526702853,2606.895139814709,2594.787725158799,2580.417319892994,2569.9458027544147,2567.545699089477,2563.922409969932,2573.0045429324064,2585.901372922455,2606.8225361510254,2620.2336110681326,2630.1564707246903,2639.439868933686,2643.0222904809184,2638.2232397591547,2625.0376257394464,2605.996613218118,2600.189327042865,2610.669768340025,2635.993907013209,2656.216201861647,2680.220534549081,2695.6630283231007,2720.4555877360335,2735.6650188278536,2749.506776025143,2748.385660947839,2732.441659391864,2724.06347456872,2724.940198293059,2742.0487312082746,2760.9872459676135,2762.1032098227793,2746.851088557359,2715.1314016200454,2688.4551623873467,2653.3227858268797,2608.7329623237283,2560.192744656802,2526.437917446958,2503.610252112022,2499.819736927681,2500.814244648384,2519.0563482984658,2548.175879502561,2587.5244988240015,2635.3654252471456,2689.1543842060623,2745.0213599980934,2794.864583467423,2818.4412224130474,2832.3743531170235,2836.6447417852823,2862.489819388452,2905.334227950379,2962.9372228473635,3019.9725576037745,3086.9377744309913,3153.762941413438,3219.210626238603,3257.2476291626303,3264.743621923423,3252.182210990391
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1472.916377155679,1481.6075763924184,1486.9899836604152,1490.755743424204,1498.2142540469977,1506.3940594446465,1517.5709757025732,1522.2727484517607,1530.7202609668855,1532.1110961838185,1536.0535783655948,1539.1577332614975,1545.3106429449774,1547.1172988971693,1551.935637254192,1561.3540834180772,1573.4395134371498,1577.7613775887162,1586.0208368603737,1588.9864530575635,1597.778537533351,1595.0124136421466,1608.927235705433,1614.0208903096238,1630.033646394426,1641.6237518684354,1657.7760358891837,1666.5686124684541,1671.7716485697456,1680.0129648175941,1690.5170893992076,1697.802793287458,1702.7838911181284,1699.590960350166,1706.9362702710478,1714.1157329006223,1726.7144435035384,1732.3531526517902,1735.3696819523186,1745.0929157648409,1754.837490789741,1767.9994222305975,1778.9866211331714,1792.0228335181648,1798.3889344775666,1803.6710960593484,1802.6730017557138,1805.9648193802568,1811.7729717281677,1820.85167971402,1829.3227622137808,1835.2735562710031,1843.3632315498571,1854.5944056081628,1864.3740041523297,1871.6597321726047,1873.7869258665316,1878.984168049456,1882.004906451532,1890.3885899579811,1893.8901379694298,1887.4215372423844,1878.019681941846,1881.40034494269,1901.9113846099322,1936.3461285492538,1966.8930654633575,1999.6511553905912,2029.6545211886444,2050.8909005996416,2061.3570028106424,2080.5483259634457,2110.3556209535814,2155.079651233475,2188.764039553974,2234.018303723997,2283.6345122718426,2346.4603451559224,2397.2252081645693,2428.208988871175,2453.6136430295323,2452.6536555570174,2477.3373947284,2482.900139395406,2529.84945576589,2553.1580566247303,2579.107785983299,2589.194553387622,2605.924067352407,2616.6413753771226,2622.3638568777706,2610.557825491636
